season,team,conference,totalPlays,passingPlays,rushingPlays
2005,Liberty,FBS Independents,27,13.0,14.0
2005,Louisiana,Sun Belt,158,73.0,83.0
2005,Louisiana Monroe,Sun Belt,81,46.0,35.0
2005,Louisiana Tech,Conference USA,183,95.0,85.0
2005,Louisville,ACC,642,305.0,321.99999999999994
2005,LSU,SEC,716,334.0,370.0
2005,Marshall,Conference USA,684,375.0,301.0
2005,Maryland,Big Ten,660,310.0,333.0
2005,Memphis,American Athletic,771,230.0,519.0
2005,Miami,ACC,652,311.0,326.0
2005,Miami (OH),Mid-American,611,324.0,269.0
2005,Michigan,Big Ten,790,380.0,391.0
2005,Michigan State,Big Ten,589,295.0,288.0
2005,Middle Tennessee,Conference USA,151,84.0,65.0
2005,Minnesota,Big Ten,744,254.99999999999997,475.0
2005,Mississippi State,SEC,481,227.0,246.0
2005,Missouri,SEC,705,347.0,346.0
2005,Navy,American Athletic,634,133.0,493.00000000000006
2005,NC State,ACC,515,259.0,247.0
2005,Nebraska,Big Ten,798,435.0,341.0
2005,Nevada,Mountain West,319,147.0,167.0
2005,New Mexico,Mountain West,763,301.0,448.0
2005,New Mexico State,FBS Independents,169,103.0,62.0
2005,North Carolina,ACC,685,347.0,326.0
2005,Northern Illinois,Mid-American,538,245.99999999999997,285.0
2005,North Texas,Conference USA,92,42.0,48.0
2005,Northwestern,Big Ten,835,464.0,359.0
2005,Notre Dame,FBS Independents,840,435.00000000000006,393.0
2005,Ohio,Mid-American,568,223.99999999999997,340.0
2005,Ohio State,Big Ten,696,273.0,401.0
2005,Oklahoma,Big 12,772,324.0,435.0
2005,Oklahoma State,Big 12,653,283.0,359.0
2005,Ole Miss,SEC,653,356.99999999999994,285.0
2005,Oregon,Pac-12,671,357.0,294.0
2005,Oregon State,Pac-12,497,260.0,221.0
2005,Penn State,Big Ten,703,293.0,394.0
2005,Pittsburgh,ACC,654,323.0,313.0
2005,Purdue,Big Ten,733,383.00000000000006,341.0
2005,Rice,Conference USA,620,171.0,444.00000000000006
2005,Rutgers,Big Ten,707,328.0,359.0
2005,San Diego State,Mountain West,760,368.0,376.0
2005,San José State,Mountain West,116,63.0,51.0
2005,SMU,American Athletic,512,228.0,270.0
2005,South Carolina,SEC,613,314.0,288.0
2005,Southern Mississippi,Conference USA,698,360.0,316.0
2005,South Florida,American Athletic,750,295.0,444.0
2005,Stanford,Pac-12,571,284.0,272.0
2005,Syracuse,ACC,604,284.0,310.0
2005,TCU,Big 12,779,365.0,396.0
2005,Temple,American Athletic,366,167.0,196.00000000000003
2005,Tennessee,SEC,712,348.0,349.0
2005,Texas,Big 12,608,260.0,336.00000000000006
2005,Texas A&M,SEC,544,229.0,298.0
2005,Texas State,Sun Belt,60,34.0,25.0
2005,Texas Tech,Big 12,693,492.00000000000006,190.0
2005,Toledo,Mid-American,690,307.0,369.0
2005,Troy,Sun Belt,104,57.00000000000001,45.0
2005,Tulane,American Athletic,568,345.0,220.0
2005,Tulsa,American Athletic,782,376.0,389.0
2005,UAB,Conference USA,560,310.0,238.0
2005,UCF,American Athletic,860,366.0,471.0
2005,UCLA,Pac-12,663,329.0,321.0
2005,UNLV,Mountain West,575,322.00000000000006,242.0
2005,USC,Pac-12,692,362.99999999999994,321.0
2005,Utah,Pac-12,817,397.0,406.0
2005,Utah State,Mountain West,158,72.0,83.0
2005,UTEP,Conference USA,635,355.0,263.0
2005,Vanderbilt,SEC,545,317.0,219.0
2005,Virginia,ACC,664,320.0,324.0
2005,Virginia Tech,ACC,725,279.0,429.0
2005,Wake Forest,ACC,562,222.0,326.0
2005,Washington,Pac-12,539,271.0,259.0
2005,Washington State,Pac-12,450,209.0,232.0
2005,Western Kentucky,Conference USA,33,16.0,17.0
2005,Western Michigan,Mid-American,586,285.0,293.0
2005,West Virginia,Big 12,678,182.99999999999997,485.0
2005,Wisconsin,Big Ten,795,338.0,442.0
2005,Wyoming,Mountain West,570,323.0,241.0
2006,Air Force,Mountain West,668,141.0,517.0
2006,Akron,Mid-American,698,385.0,307.0
2006,Alabama,SEC,748,364.0,366.0
2006,Arizona,Pac-12,535,320.0,205.0
2006,Arizona State,Pac-12,662,305.0,345.00000000000006
2006,Arkansas,SEC,652,237.0,410.0
2006,Arkansas State,Sun Belt,179,69.0,107.0
2006,Army,FBS Independents,478,215.0,254.0
2006,Auburn,SEC,694,288.0,387.0
2006,Ball State,Mid-American,668,356.0,296.0
2006,Baylor,Big 12,407,289.0,110.99999999999999
2006,Boise State,Mountain West,621,242.0,368.0
2006,Boston College,ACC,824,447.00000000000006,361.0
2006,Bowling Green,Mid-American,787,347.0,436.0
2006,Buffalo,Mid-American,556,275.0,273.0
2006,BYU,FBS Independents,617,352.0,254.0
2006,California,Pac-12,611,303.0,295.0
2006,Central Michigan,Mid-American,686,368.0,309.0
2006,Cincinnati,American Athletic,770,323.0,428.0
2006,Clemson,ACC,649,296.0,339.0
2006,Colorado,Pac-12,687,274.0,394.00000000000006
2006,Colorado State,Mountain West,612,331.0,274.0
2006,Connecticut,American Athletic,677,280.0,390.0
2006,Duke,ACC,650,349.0,297.0
2006,East Carolina,American Athletic,851,434.0,397.0
2006,Eastern Michigan,Mid-American,666,349.0,301.0
2006,Florida,SEC,736,366.0,363.0
2006,Florida Atlantic,Conference USA,96,50.0,44.0
2006,Florida International,Conference USA,262,146.0,114.0
2006,Florida State,ACC,708,418.00000000000006,276.0
2006,Fresno State,Mountain West,200,107.0,89.0
2006,Georgia,SEC,734,339.0,378.00000000000006
2006,Georgia Tech,ACC,700,297.0,393.0
2006,Hawai'i,Mountain West,307,211.0,89.0
2006,Houston,American Athletic,815,414.99999999999994,384.0
2006,Illinois,Big Ten,712,327.0,369.0
2006,Indiana,Big Ten,599,338.0,252.0
2006,Iowa,Big Ten,792,406.0,371.0
2006,Iowa State,Big 12,621,316.0,297.0
2006,Kansas,Big 12,717,344.0,359.0
2006,Kansas State,Big 12,500,283.0,206.0
2006,Kent State,Mid-American,649,257.0,390.00000000000006
2006,Kentucky,SEC,509,285.0,217.0
2006,Liberty,FBS Independents,48,24.0,24.0
2006,Louisiana,Sun Belt,166,71.0,90.0
2006,Louisiana Monroe,Sun Belt,97,55.0,41.0
2006,Louisiana Tech,Conference USA,160,92.0,67.0
2006,Louisville,ACC,728,355.0,354.0
2006,LSU,SEC,630,318.0,304.0
2006,Marshall,Conference USA,503,234.0,263.0
2006,Maryland,Big Ten,746,330.0,397.0
2006,Memphis,American Athletic,715,379.0,321.0
2006,Miami,ACC,710,342.0,354.0
2006,Miami (OH),Mid-American,767,436.0,319.0
2006,Michigan,Big Ten,773,317.0,438.0
2006,Michigan State,Big Ten,690,376.0,299.0
2006,Middle Tennessee,Conference USA,243,141.0,100.0
2006,Minnesota,Big Ten,667,316.0,342.0
2006,Mississippi State,SEC,607,315.0,287.0
2006,Missouri,SEC,831,430.0,383.0
2006,Navy,American Athletic,715,106.0,599.0
2006,NC State,ACC,668,370.0,285.0
2006,Nebraska,Big Ten,836,393.0,438.0
2006,Nevada,Mountain West,296,122.0,168.0
2006,New Mexico,Mountain West,751,382.00000000000006,352.0
2006,New Mexico State,FBS Independents,244,188.0,55.0
2006,North Carolina,ACC,629,309.0,310.0
2006,Northern Illinois,Mid-American,693,353.0,321.0
2006,North Texas,Conference USA,194,75.0,117.0
2006,Northwestern,Big Ten,675,316.0,350.0
2006,Notre Dame,FBS Independents,757,430.0,319.0
2006,Ohio,Mid-American,770,324.0,433.0
2006,Ohio State,Big Ten,625,288.0,329.0
2006,Oklahoma,Big 12,800,319.0,461.00000000000006
2006,Oklahoma State,Big 12,676,277.0,388.00000000000006
2006,Ole Miss,SEC,532,208.0,313.0
2006,Oregon,Pac-12,783,404.0,367.0
2006,Oregon State,Pac-12,680,336.0,326.0
2006,Penn State,Big Ten,755,378.0,356.0
2006,Pittsburgh,ACC,583,298.0,272.0
2006,Purdue,Big Ten,796,486.0,302.0
2006,Rice,Conference USA,724,384.99999999999994,328.0
2006,Rutgers,Big Ten,656,260.0,375.0
2006,San Diego State,Mountain West,581,251.0,324.0
2006,San José State,Mountain West,198,73.0,123.0
2006,SMU,American Athletic,592,276.0,306.0
2006,South Carolina,SEC,704,358.99999999999994,328.0
2006,Southern Mississippi,Conference USA,772,318.0,437.0
2006,South Florida,American Athletic,754,340.0,406.0
2006,Stanford,Pac-12,430,219.0,205.0
2006,Syracuse,ACC,678,324.0,339.0
2006,TCU,Big 12,745,320.0,404.0
2006,Temple,American Athletic,371,196.0,172.0
2006,Tennessee,SEC,705,386.0,302.0
2006,Texas,Big 12,710,347.0,354.0
